kind,class,display_name,internal_name,source,final_layer_note
weapon,SMG,MP7,mp7_mp,common_mp,base; may be overridden by common_patch_mp
weapon,SMG,PDW-57,pdw57_mp,common_mp,base; may be overridden by common_patch_mp
weapon,SMG,Vector K10,vector_mp,common_mp,base; may be overridden by common_patch_mp
weapon,SMG,MSMC,insas_mp,common_mp,base; may be overridden by common_patch_mp
weapon,SMG,Chicom CQB,qcw05_mp,common_mp,base; may be overridden by common_patch_mp
weapon,SMG,Skorpion EVO,evoskorpion_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,MTAR,tar21_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,Type 25,type95_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,SWAT-556,sig556_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,FAL OSW,sa58_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,M27,hk416_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,SCAR-H,scar_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,SMR,saritch_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,M8A1,xm8_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Assault Rifle,AN-94,an94_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Shotgun,R870 MCS,870mcs_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Shotgun,S12,saiga12_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Shotgun,KSG,ksg_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Shotgun,M1216,srm1216_mp,common_mp,base; may be overridden by common_patch_mp
weapon,LMG,Mk 48,mk48_mp,common_mp,base; may be overridden by common_patch_mp
weapon,LMG,QBB LSW,qbb95_mp,common_mp,base; may be overridden by common_patch_mp
weapon,LMG,LSAT,lsat_mp,common_mp,base; may be overridden by common_patch_mp
weapon,LMG,HAMR,hamr_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Sniper Rifle,SVU-AS,svu_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Sniper Rifle,DSR 50,dsr50_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Sniper Rifle,Ballista,ballista_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Sniper Rifle,XPR-50,as50_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Pistol,Five-seven,fiveseven_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Pistol,Tac-45,fnp45_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Pistol,B23R,beretta93r_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Pistol,Executioner,judge_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Pistol,KAP-40,kard_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Launcher,SMAW,smaw_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Launcher,FHJ-18 AA,fhj18_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Launcher,RPG,usrpg_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Special,Assault Shield,riotshield_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Special,Crossbow,crossbow_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Special,Ballistic Knife,knife_ballistic_mp,common_mp,base; may be overridden by common_patch_mp
weapon,Special,Combat Knife,knife_held_mp,common_mp,base; may be overridden by common_patch_mp
equipment,Lethal,Frag Grenade,frag_grenade_mp,common_mp,base
equipment,Lethal,Semtex,sticky_grenade_mp,common_mp,base
equipment,Lethal,Combat Axe,hatchet_mp,common_mp,base
equipment,Lethal,Bouncing Betty,bouncingbetty_mp,common_mp,base
equipment,Lethal,C4,satchel_charge_mp,common_mp,base
equipment,Lethal,Claymore,claymore_mp,common_mp,base
equipment,Tactical,Concussion Grenade,concussion_grenade_mp,common_mp,base
equipment,Tactical,Smoke Grenade,willy_pete_mp,common_mp,base
equipment,Tactical,Sensor Grenade,sensor_grenade_mp,common_mp,base
equipment,Tactical,EMP Grenade,emp_grenade_mp,common_mp,base
equipment,Tactical,Shock Charge,proximity_grenade_mp,common_mp,base
equipment,Tactical,Black Hat,pda_hack_mp,common_mp,base
equipment,Tactical,Flash Grenade,flash_grenade_mp,common_mp,base
equipment,Tactical,Trophy System,trophy_system_mp,common_mp,base
equipment,Tactical,Tactical Insertion,tactical_insertion_mp,common_mp,base
weapon,SMG,Peacekeeper,peacekeeper_mp,patch-era final game,final-game DLC family; patch_mp has 1 weapon XAsset; exact top-level name should be confirmed by focused definition dump
