order,internal_name,relationship_to_common_mp
1,vector_mp,override/update
2,sf_vector_mp,override/update
3,pdw57_mp,override/update
4,sf_pdw57_mp,override/update
5,evoskorpion_mp,override/update
6,sf_evoskorpion_mp,override/update
7,mp7_mp,override/update
8,sf_mp7_mp,override/update
9,qcw05_mp,override/update
10,sf_qcw05_mp,override/update
11,insas_mp,override/update
12,sf_insas_mp,override/update
13,hk416_mp,override/update
14,dualoptic_hk416_mp,override/update
15,gl_hk416_mp,override/update
16,sf_hk416_mp,override/update
17,scar_mp,override/update
18,dualoptic_scar_mp,override/update
19,gl_scar_mp,override/update
20,sf_scar_mp,override/update
21,tar21_mp,override/update
22,dualoptic_tar21_mp,override/update
23,gl_tar21_mp,override/update
24,sf_tar21_mp,override/update
25,sig556_mp,override/update
26,dualoptic_sig556_mp,override/update
27,gl_sig556_mp,override/update
28,sf_sig556_mp,override/update
29,an94_mp,override/update
30,dualoptic_an94_mp,override/update
31,gl_an94_mp,override/update
32,sf_an94_mp,override/update
33,type95_mp,override/update
34,dualoptic_type95_mp,override/update
35,gl_type95_mp,override/update
36,sf_type95_mp,override/update
37,xm8_mp,override/update
38,dualoptic_xm8_mp,override/update
39,gl_xm8_mp,override/update
40,sf_xm8_mp,override/update
41,saritch_mp,override/update
42,dualoptic_saritch_mp,override/update
43,gl_saritch_mp,override/update
44,sf_saritch_mp,override/update
45,sa58_mp,override/update
46,dualoptic_sa58_mp,override/update
47,gl_sa58_mp,override/update
48,sf_sa58_mp,override/update
49,mk48_mp,override/update
50,dualoptic_mk48_mp,override/update
51,lsat_mp,override/update
52,dualoptic_lsat_mp,override/update
53,qbb95_mp,override/update
54,dualoptic_qbb95_mp,override/update
55,hamr_mp,override/update
56,dualoptic_hamr_mp,override/update
57,ballista_mp,override/update
58,as50_mp,override/update
59,dsr50_mp,override/update
60,svu_mp,override/update
61,870mcs_mp,override/update
62,saiga12_mp,override/update
63,srm1216_mp,override/update
64,ksg_mp,override/update
65,fiveseven_mp,override/update
66,beretta93r_mp,override/update
67,judge_mp,override/update
68,fnp45_mp,override/update
69,kard_mp,override/update
70,kard_dw_mp,override/update
71,kard_lh_mp,override/update
72,beretta93r_dw_mp,override/update
73,beretta93r_lh_mp,override/update
74,smaw_mp,override/update
75,fhj18_mp,override/update
76,crossbow_mp,override/update
77,explosive_bolt_mp,override/update
78,knife_ballistic_mp,override/update
79,satchel_charge_mp,override/update
80,knife_mp,override/update
81,bouncingbetty_mp,override/update
