logical_block	expected_sha1	source	raw_offset
0	6aa027ddb252e64240e2f9dbd60f1cc4a30999e9	contiguous-recovery	0x149B9D000
1	0435d6a6864d01c44c2dc8165fe64a362e918f6a	contiguous-recovery	0x149B9E000
2	0c57551d534fa0dd1dcd2f94f86d2bb41fe6ea5d	contiguous-recovery	0x149B9F000
3	79e90f22c848e55b6e58488001bdba83d10d49d5	contiguous-recovery	0x149BA0000
4	856309cac8430f621e2c2260283705c9c58c3fa3	contiguous-recovery	0x149BA1000
5	9cff075c7b3fca27dab262200c68ee7525f8577a	contiguous-recovery	0x149BA2000
6	547109807db473f87f420723fffa9ad090ac867c	contiguous-recovery	0x149BA3000
7	e248bba8c33dd2a584eea23db1d6557019920b66	contiguous-recovery	0x149BA4000
8	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	contiguous-recovery	0x149BA5000
9	0c82483deda0742004e3a67ad9796195dc9b3f90	contiguous-recovery	0x149BA6000
10	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	contiguous-recovery	0x149BA7000
11	e11b57b2af0a14b49e084227dac98c3a344e4dcb	contiguous-recovery	0x149BA8000
12	d0a5dba16ef294341aa904839ba8daad46aada12	contiguous-recovery	0x149BA9000
13	1ebd795a35f437fa4739ff251eba72eaec69a175	contiguous-recovery	0x149BAA000
14	7040b5cada0a2f29d338e8c1765005824cfe3a8e	contiguous-recovery	0x149BAB000
15	8911f72f3c3da8f94f3ca980be5330496ee7a191	contiguous-recovery	0x149BAC000
16	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	contiguous-recovery	0x149BAD000
17	09657f3dffa114fc869b3a6293823e98e39eaeb8	contiguous-recovery	0x149BAE000
18	c92a125322b1c56243488689d4d79bae66523e5a	contiguous-recovery	0x149BAF000
19	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	contiguous-recovery	0x149BB0000
20	bc67ad8069b469f6ceb841b960ea0215347e6290	disk-local	0x15392B000
21	b5f3f5c671d3d713598cd9f89cfd4a707e328f90	disk-local	0x1539DA000
22	130205979476ad9a92a6b6608dc038a1c0c1a444	disk-local	0x1539DB000
23	d541038bb3aefe0c65fe45600d347d6475499d46	disk-local	0x1539DC000
24	f6f32c6bf9b15dd775dd44990512e7a2a4f7fb95	disk-local	0x146110000
25	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	synthetic-zero	
26	da094c2542795afdf18de18d36343438d40b741e	disk-local	0x1539DF000
27	4fd0575bc3387a9f0aab82d6a3198ffbd7c64415	disk-local	0x1539E0000
28	bc9785ad6d13d4048378412f1d102007921804b9	disk-local	0x15399A000
29	a4fd801c8039aa4f6b6c85bb0b33c43dcbbd7815	disk-local	0x1539E2000
30	1febd7ec43e4aebfcaa359b131abd14baa8d745d	disk-local	0x1539E3000
31	0cf4435982c684d7a756275711108c31ade3616c	partial-package	0x43000
32	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	synthetic-zero	
33	ee8cb5d2c8c909136d6af728d52bae8f1c047f87	disk-local	0x15318C000
34	bcff7a109b31e27f190cde69e9421ff3d5ca256f	disk-local	0x1539E7000
35	ebb692ffc7e17343c67b614e3f7e54e57e15de38	disk-local	0x1539E8000
36	147518d1bf61d56c0af25a9b901fe76ca1001949	disk-local	0x153932000
37	8c777e0c4b556edbc94f2321373cb420f5deecb8	disk-local	0x153933000
38	ea3e023e2f1ee774123006914bfb36e09040efbb	disk-local	0x153934000
39	5cc0ac77f688f69c33f2a5b1ac83d55d424ced4f	disk-local	0x153935000
40	95883f53127961b3e3f11b69cb1234a545035a2f	disk-local	0x153936000
41	21587800cfe0cfd6090fe07e5786b83e16f2eaee	disk-local	0x153937000
42	826a2b9b3f8741dafd0d2165835c9d4ffa34f917	disk-local	0x145B36000
43	466e8be4ce4e4476bda9d97641cae109cd68e459	disk-local	0x14610F000
44	db6c7a23bd80f83ad2babe5ed540e6010a71ad0f	disk-local	0x1539F1000
45	1e744f56b3443de8822f78416a0fdf212d19159f	disk-local	0x145DE4000
46	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	synthetic-zero	
47	bebe79cda4db65919081138566995f0ccdca55ca	disk-local	0x1539A1000
48	6dbb98a624f21ff2cc25a7c6ffccc622eed4913e	disk-local	0x145B3F000
49	1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d	synthetic-zero	
50	731ba2f335066e9ebae253e4e1744807e3316220	disk-local	0x14610C000
51	b493bc2db428df922ed1bae53fc4f08a625403a5	disk-local	0x1539F8000
52	d17b5feca725b3cb5c0a5d770b76186633941b0b	disk-local	0x14610A000
53	1fe6b315a2717044825c12c9892f0042e93c38cf	disk-local	0x1539FA000
54	0cf4435982c684d7a756275711108c31ade3616c	partial-package	0x43000
55	466e8be4ce4e4476bda9d97641cae109cd68e459	disk-local	0x14610F000
